x_value,total_1,total_2
0,1000,1000
1,997,1000
2,1003,996
3,1010,996
4,1012,991
5,1006,991
6,1002,987
7,1000,985
8,998,991
9,996,995
10,990,997
11,986,995
12,993,996
13,997,996
14,997,998
15,992,993
16,996,992
17,997,998
18,1000,994
19,1006,992
20,1005,989
21,1010,995
22,1017,995
23,1024,991
24,1026,988
25,1027,991
26,1034,994
27,1030,998
28,1028,999
29,1029,1002
30,1024,1006
31,1023,1002
32,1017,1002
33,1011,1003
34,1011,1003
35,1017,1009
36,1019,1012
37,1013,1013
38,1018,1016
39,1020,1012
40,1027,1010
41,1024,1012
42,1026,1013
43,1021,1013
44,1019,1019
45,1027,1018
46,1024,1019
47,1023,1014
48,1017,1018
49,1025,1018
50,1032,1024
51,1028,1019
52,1033,1018
53,1030,1017
54,1034,1023
55,1032,1023
56,1034,1020
57,1031,1018
58,1032,1014
59,1026,1011
60,1029,1011
61,1029,1010
62,1037,1012
63,1045,1017
64,1048,1016
65,1055,1016
66,1060,1021
67,1061,1024
68,1065,1029
69,1066,1035
70,1072,1036
71,1079,1040
72,1080,1046
73,1075,1048
74,1077,1051
75,1085,1056
76,1085,1053
77,1089,1048
78,1084,1052
79,1090,1056
80,1097,1054
81,1098,1053
82,1095,1056
83,1091,1052
84,1091,1054
85,1092,1054
86,1089,1055
87,1089,1055
88,1096,1059
89,1101,1065
90,1103,1071
91,1102,1067
92,1101,1066
93,1099,1069
94,1093,1068
95,1098,1065
96,1094,1069
97,1088,1072
98,1095,1076
99,1101,1072
100,1108,1068
101,1115,1067
102,1122,1067
103,1123,1062
104,1117,1064
105,1118,1070
106,1124,1067
107,1122,1070
108,1124,1066
109,1132,1064
110,1133,1062
111,1139,1065
112,1133,1071
113,1128,1075
114,1127,1073
115,1131,1069
116,1127,1068
117,1129,1063
118,1126,1063
119,1123,1069
120,1126,1072
121,1133,1078
122,1135,1078
123,1137,1077
124,1141,1081
125,1142,1076
126,1143,1074
127,1141,1076
128,1147,1073
129,1154,1077
130,1157,1075
131,1155,1072
132,1156,1070
133,1155,1070
134,1162,1069
135,1161,1070
136,1167,1067
137,1164,1066
138,1159,1069
139,1160,1074
140,1159,1070
141,1161,1073
142,1160,1069
143,1155,1068
144,1163,1064
145,1171,1060
146,1165,1058
147,1171,1053
148,1167,1059
149,1171,1056
150,1176,1053
151,1183,1048
152,1183,1043
153,1180,1039
154,1179,1037
155,1186,1034
156,1181,1032
157,1181,1031
158,1182,1034
159,1176,1030
160,1174,1035
161,1174,1031
162,1181,1028
163,1176,1029
164,1180,1026
165,1188,1026
166,1190,1026
167,1193,1030
168,1197,1030
169,1191,1036
170,1199,1032
171,1196,1033
172,1193,1031
173,1188,1034
174,1193,1040
175,1193,1046
176,1190,1052
177,1197,1050
178,1204,1051
179,1204,1049
180,1198,1044
181,1195,1043
182,1191,1045
183,1197,1047
184,1199,1052
185,1200,1049
186,1206,1050
187,1203,1047
188,1204,1042
189,1209,1041
190,1215,1045
191,1214,1050
192,1211,1052
193,1213,1051
194,1212,1056
195,1210,1056
196,1205,1059
197,1203,1062
198,1198,1062
199,1205,1060
200,1209,1061
201,1213,1067
202,1210,1066
203,1214,1069
204,1219,1064
205,1227,1065
206,1227,1064
207,1226,1068
208,1230,1071
209,1236,1068
210,1230,1065
211,1236,1067
212,1237,1072
